row	Weight.of.20.seeds	Average.cob.length	Average.cob.weight	Average.cob.width
3513	4.9	14.48333333	18.23333333	25.36666667
3515	5	12.7	13.5	21.93333333
3517		9	0.85	14.1
3519	5	13.28333333	9.866666667	18.53333333
3521	3.6	11.98333333	8.733333333	19.23333333
3523		8.8	5.45	21.15
3525	5.3	16.1	18.86666667	22.46666667
3527	4.8	9.683333333	10.13333333	22.93333333
3529	4.7	11.66666667	14.13333333	22.26666667
3531	3.8	12.65	15.2	26.66666667
3533	5.7	13.38333333	12.06666667	23.36666667
3535		13.63333333	15.48333333	21.1
3537	5.1	12.7	10.83333333	21.23333333
3539	5	13.7	13.96666667	22.46666667
3541	2	13.8	10.1	18.06666667
3543				
3545		21.25	28.45	25.4
3547	4	15.96666667	13.86666667	21.46666667
3549	3.6	12.26666667	13.53333333	25
3551	5.8	13.88333333	14.26666667	21.7
3553	4.9	14.23333333	11	19.86666667
3555	4.3	11.68333333	11.63333333	22.33333333
3557		14.43333333	33.96666667	27.33333333
3559	5.5	14.1	10.8	18.5
3561		13.03333333		
3563	4.3	12.76666667	15.33333333	24.2
3565		11.375	13.6	26.125
